topico,conteudo,fonte
HD Externo Não Aparece no Meu Computador,"Se o HD faz barulho normal mas não aparece, ele perdeu a letra da unidade. Vá em 'Gerenciamento de Disco' (diskmgmt.msc), clique com o botão direito no volume e escolha 'Alterar Letra de Unidade e Caminhos'.",Fórum Tom's Hardware e Guia do Hardware
Aplicativos em Segundo Plano Consumindo Bateria,"No Windows 11, o recurso de economia bloqueia apps em segundo plano. Vá em Configurações > Sistema > Energia e Bateria para visualizar o uso por aplicativo e restringir os ofensores em segundo plano.",Microsoft Learn (Docs)
Falha de Autenticação LDAP,Sistemas que usam Active Directory para login e apresentam falha LDAP precisam ter suas configurações apontadas para a porta correta (389 para tráfego normal ou 636 para LDAPS seguro).,Microsoft Learn (Docs)
Limpar Cache de DNS do Mac,"Para limpar o DNS no macOS e resolver bloqueios de sites, abra o Terminal e digite 'sudo dscacheutil -flushcache; sudo killall -HUP mDNSResponder'. Uma senha de administrador será necessária.",Suporte Oficial Apple
Computador Reinicia ao Conectar USB,"Se a máquina desliga ou reinicia na hora que um pendrive ou mouse é plugado, a porta USB está em curto-circuito físico, acionando a proteção da placa-mãe. Essa porta não deve mais ser utilizada.",Fórum Tom's Hardware e Guia do Hardware
Pasta Windows.old Ocupando Espaço,"Após atualizar o sistema, a pasta 'Windows.old' guarda a versão anterior para reversão. Se o PC estiver estável, ela pode ser apagada usando a ferramenta 'Limpeza de Disco' com foco em arquivos do sistema.",Microsoft Learn (Docs)
Falha na Inicialização do Docker,"Se o Docker Desktop ficar parado em 'Starting', a virtualização (Hyper-V ou WSL2) pode estar desativada. Certifique-se de ativar a virtualização na BIOS e instalar a atualização do kernel do Linux.",Fórum Tom's Hardware e Guia do Hardware
Erro de Tela Azul MEMORY_MANAGEMENT,BSOD Memory Management é um forte indício de falha no pente de memória RAM ou configuração XMP incorreta na BIOS. Testar a máquina com apenas um módulo de memória isola o componente defeituoso.,Fórum Tom's Hardware e Guia do Hardware
Notebook Ligado mas Tela Preta,"Se o teclado acende, a ventoinha gira, mas não dá vídeo, tente conectar um monitor externo. Se der vídeo, a tela LCD ou o cabo flat interno do notebook queimaram. Se não, é falha na placa-mãe.",Fórum Tom's Hardware e Guia do Hardware
Recuperar Histórico de Navegação Excluído,"O histórico do Chrome apagado localmente não pode ser recuperado facilmente. Porém, se a conta do Google estiver sincronizada, o usuário pode acessar 'myactivity.google.com' para ver os registros em nuvem.",Comunidade de Ajuda do Google
Erro de Conexão com Servidor Proxy,"Se nenhum navegador abrir sites exibindo erro de Proxy, o Windows pode estar com a configuração forçada por um malware. Vá em Opções da Internet > Conexões > Configurações da LAN e desmarque o servidor proxy.",Microsoft Learn (Docs)
Cabo HDMI Não Passa Som para a TV,"Se a imagem aparece mas o som sai no PC, o dispositivo de reprodução padrão não mudou. Clique no ícone de volume na barra de tarefas e mude a saída de 'Alto-falantes' para a sua 'TV/HDMI'.",Comunidade Super User e Fóruns de TI
Bluetooth do Notebook Sumiu do Sistema,O sumiço total do ícone Bluetooth do Gerenciador de Dispositivos indica falha de hardware ou conflito do adaptador de rede (já que Wi-Fi e Bluetooth usam a mesma placa). Reinstalar o driver ou remover a placa fisicamente resolve.,Documentação Cisco e Clube do Hardware
Documento Preso em Formato XPS,"Arquivos gerados acidentalmente como .xps ou .oxps via 'Microsoft Print to PDF' podem ser abertos usando o 'Visualizador XPS' nativo do Windows, disponível em 'Recursos Opcionais' nas configurações.",Microsoft Learn (Docs)
Falha no Logon do Perfil Temporário,"Fazer login e perder atalhos com mensagem de Perfil Temporário indica corrupção no registro. O técnico deve entrar no 'regedit', localizar a chave ProfileList e renomear ou remover a pasta `.bak` corrompida do usuário.",Comunidade Super User e Fóruns de TI
Teclas de Atalho do Windows Não Funcionam,"A tecla 'Win' desativada muitas vezes ocorre em teclados gamers. Procure pela tecla 'Fn' combinada com a tecla do Windows para desativar o 'Gaming Mode', que bloqueia interrupções acidentais no jogo.",Microsoft Learn (Docs)
Extensões do Chrome Desativadas por Administrador,Extensões instaladas sem permissão podem ser forçadamente removidas por Políticas de Grupo (GPO) em PCs corporativos. O TI da empresa precisará colocar a ID da extensão na lista de permissões do servidor.,Comunidade de Ajuda do Google
Rede Apresenta Lentidão Apenas em Um PC,"Se a internet é normal nos outros PCs, a máquina afetada pode estar com atualizações em segundo plano, malware de mineração ou driver de rede desatualizado limitando a negociação da placa a 10Mbps.",Documentação Cisco e Clube do Hardware
Recuperação de Chave do BitLocker,"Quando o HD bloqueia pedindo o BitLocker, a chave de 48 dígitos não pode ser pulada. Ela estará vinculada à conta Microsoft pessoal do usuário original ou ao Active Directory da empresa. Sem ela, os dados são perdidos.",Microsoft Learn (Docs)
Trocar Bateria de Placa-Mãe (CMOS),Erros constantes na data e hora sempre que o PC desliga apontam que a bateria tipo moeda CR2032 esgotou. A substituição garante que a BIOS retenha informações do hardware e relógio sem energia da tomada.,Fórum Tom's Hardware e Guia do Hardware
Desativar Telemetria do Windows,"Para aliviar processadores lentos, ferramentas de privacidade como o O&O ShutUp10 ou alterações no registro podem desativar a telemetria do Windows, impedindo envios de relatórios constantes à Microsoft.",Microsoft Learn (Docs)
Falha de Backup em Disco Rígido Externo,Discos rígidos externos muito grandes (acima de 2TB) precisam ser inicializados em GPT (GUID Partition Table) e não em MBR. Use o Gerenciamento de Disco para converter a partição caso a unidade não leia toda a capacidade.,Comunidade Super User e Fóruns de TI
Conexão de Fone Bluetooth Cortando,Quedas constantes de áudio via Bluetooth ocorrem por obstrução física ou interferência de sinal 2.4GHz. Afaste roteadores Wi-Fi ou conecte o receptor Bluetooth em portas frontais e desobstruídas.,Documentação Cisco e Clube do Hardware
Erro de Arquivo Corrompido no Excel,"Se um arquivo .xlsx der erro de corrupção, use a opção 'Abrir e Reparar' no menu de abertura do Excel. O programa tentará extrair os dados e remover a formatação problemática causadora do crash.",Microsoft Learn (Docs)
Limpeza de Poeira de Coolers,"Coolers barulhentos ou que travam o PC por superaquecimento exigem manutenção. Desligue a energia, abra a tampa lateral, use pincéis antiestáticos ou ar comprimido e trave as pás das ventoinhas para não quebrarem.",Comunidade Super User e Fóruns de TI
Bloqueio de Pen Drive na Rede,"Políticas corporativas bloqueiam portas USB via GPO para evitar vazamento de dados. Se a porta não aceita armazenamento mas carrega celular, a restrição é de software; o TI deve liberar a máquina temporariamente via grupo do AD.",Documentação Cisco e Clube do Hardware
Mensagem CPU Fan Error na BIOS,Esse erro ocorre se o cooler do processador estiver ligado no pino errado (como SYS_FAN) ou se as pás não estiverem girando rápido o suficiente. Verifique se o cabo está conectado firmemente no pino 'CPU_FAN' da placa.,Fórum Tom's Hardware e Guia do Hardware
Arquivos Ocultos no Windows,"Para revelar pastas de sistema ou vírus que se escondem, vá no Explorador de Arquivos, aba Exibir, clique em Opções. Em Modo de Exibição, desmarque 'Ocultar arquivos protegidos' e marque 'Mostrar arquivos ocultos'.",Microsoft Learn (Docs)
Atualização Congelada (Não desligue o PC),"Travamentos de horas na tela 'Trabalhando em atualizações' ocorrem por loops lógicos. Se o LED do disco rígido não estiver piscando por mais de 30 minutos, o hard reset (segurar botão power) será a única saída.",Comunidade Super User e Fóruns de TI
Celular Não Aparece no PC para Transferência,"Quando o celular conectado ao PC apenas carrega, desbloqueie a tela, deslize a barra de notificação e mude a opção de 'Apenas carregamento' para 'Transferência de Arquivos' (MTP).",Fórum XDA Developers
Conexão RDP Área de Trabalho Remota Não Funciona,"Para conectar remotamente, o PC destino deve possuir o Windows versão Pro ou Enterprise. As edições 'Home' não suportam ser servidor RDP; utilize softwares de terceiros como AnyDesk ou TeamViewer nestes casos.",Microsoft Learn (Docs)
Erro Certificado SSL Errado na Intranet,Sites internos acessados via HTTPS podem dar aviso vermelho se o certificado for autoassinado. A equipe de TI deve distribuir a Raiz Confiável da empresa para os navegadores via política do domínio.,Comunidade Super User e Fóruns de TI
Som Distorcido em Chamadas de Vídeo,"Aceleração de hardware e cancelamento de eco duplo causam distorção. Desative o processamento de áudio interno em aplicativos como Zoom ou Discord, deixando o sistema nativo cuidar do microfone.",Fórum Tom's Hardware e Guia do Hardware
Pasta Downloads Desapareceu,"A pasta principal de Downloads pode perder o ícone fixado. Abra o menu 'Executar' (Win+R), digite '%userprofile%\Downloads' e pressione Enter para restaurar a visualização do diretório e fixá-lo no acesso rápido.",Comunidade Super User e Fóruns de TI
Formatação Segura de Discos SSD,"Não utilize ferramentas de formatação profunda (zero fill) em SSDs, pois degradam as células ativamente. Use as funções 'Secure Erase' no próprio utilitário da placa-mãe ou da fabricante (como Samsung Magician).",Fórum Tom's Hardware e Guia do Hardware
Placa de Vídeo Não Dá Imagem Nova,Trocar de GPU e não obter vídeo ocorre pela presença de drivers antigos conflitantes. Utilize o Display Driver Uninstaller (DDU) para limpar o software anterior antes de instalar o hardware novo.,Fórum Tom's Hardware e Guia do Hardware
Recuperar Chave do Windows Original,"PCs modernos possuem a licença atrelada à BIOS (OEM). Formate instalando a mesma versão (Home/Pro). Caso necessário verificar, abra o prompt como admin e rode: 'wmic path softwarelicensingservice get OA3xOriginalProductKey'.",Microsoft Learn (Docs)
Filtro de Tela Azul do Windows Ativado,"Se o monitor ficar amarelo de repente e não for defeito no cabo, a opção 'Luz Noturna' do Windows foi ativada. Acesse as Configurações de Tela e desative a funcionalidade ou altere o agendamento de horário.",Microsoft Learn (Docs)
Aviso de Vírus Falso via Chrome,Notificações persistentes sobre o 'McAfee' expirado ou vírus no sistema são golpes enviados por sites aos quais você deu permissão. Vá em Configurações > Notificações no navegador e apague as permissões desses sites.,Comunidade de Ajuda do Google
Touchpad do Notebook Parou Completamente,"Muitos notebooks Lenovo, Asus e Dell desativam o touchpad mediante uma combinação de tecla Fn (como Fn + F6 ou F9). Se o atalho não resolver, verifique a ativação do touchpad nas configurações do Windows 11.",Microsoft Learn (Docs)
Desativar Firewall do Windows Corretamente,"Desativar o firewall para testar aplicações de rede deve ser feito nas Configurações de Segurança do Windows para as redes de 'Domínio', 'Privada' e 'Pública'. Ative novamente assim que o teste for concluído para evitar riscos de segurança.",Microsoft Learn (Docs)
PC Travando com Beeps Contínuos,Beeps curtos e ininterruptos imediatamente ao ligar o computador indicam que há uma tecla presa fisicamente no teclado ou falha crítica no módulo da fonte de alimentação gerando tensão incorreta à placa-mãe.,Fórum Tom's Hardware e Guia do Hardware
Erro Outlook 0x8004010F: Pasta não encontrada,"Esse erro indica corrupção no perfil do usuário no registro do Outlook. A solução é acessar o Painel de Controle, ir em 'Mail', criar um Perfil de Usuário novo e adicionar a conta do Microsoft 365 ou IMAP novamente.",Microsoft Learn (Docs)
Unidade Mapeada Desconectada no Logon,"Pastas de servidor (unidades Z:, X:, etc) podem aparecer com um X vermelho após reiniciar, mesmo estando logado. Clique duas vezes na unidade para reconectar e salvar a credencial, ou mapeie via GPO de logon script atrasado.",Comunidade Super User e Fóruns de TI
Redução de Ruído do Microfone no Windows,"Se o ambiente é barulhento, abra o Painel de Controle > Som > Gravação, selecione o microfone, clique em Propriedades e ative a aba 'Aperfeiçoamentos' marcando 'Supressão de Ruído' e 'Cancelamento de Eco'.",Microsoft Learn (Docs)
Monitor Sem Som Integrado,Monitores com alto-falantes embutidos precisam receber o som via cabo HDMI ou DisplayPort. Certifique-se de que a saída padrão no ícone de som na barra de tarefas está configurada com a marca do monitor (ex: 'LG IPS FULLHD').,Comunidade Super User e Fóruns de TI
Conexão Limitada na Internet Compartilhada,"Se usar o celular como Roteador Wi-Fi (Tethering) exibir 'Sem acesso à internet', o pacote de dados esgotou ou a operadora bloqueia o recurso. Teste o compartilhamento via cabo USB nas configurações de rede móvel.",Documentação Cisco e Clube do Hardware
Navegador Edge Travando ao Abrir PDF,"O recurso 'Aprimoramento de Segurança' do Edge impede PDFs corporativos protegidos de abrir. Vá nas configurações do Edge, guia Privacidade e desative o 'Modo Super Restrito' ou o 'Aprimorar a segurança na Web' temporariamente.",Microsoft Learn (Docs)
Ícones da Área de Trabalho em Branco,"Ícones genéricos ou em branco (folha branca) acontecem quando o cache de ícones do Windows corrompe. No explorador de arquivos ocultos, exclua o arquivo 'IconCache.db' dentro de 'C:\Usuários\Nome\AppData\Local' e reinicie o PC.",Microsoft Learn (Docs)
Tela do Notebook Fica Escura Ligado na Bateria,"Para salvar energia, o Windows diminui o brilho automaticamente quando o carregador é retirado. Para alterar esse comportamento, vá ao Plano de Energia e defina o brilho do modo 'Na Bateria' para 100%.",Microsoft Learn (Docs)
Limpeza Física do Teclado,Teclados empoeirados geram toques não intencionais. Vire o teclado de cabeça para baixo e dê tapas leves nas costas. Use álcool isopropílico e cotonete para limpar cantos e evitar oxidação dos contatos das membranas internas.,Comunidade Super User e Fóruns de TI
Programa Iniciando Automaticamente Minimizado,"Para forçar programas a iniciarem, mas não atrapalharem na tela (como VPNs ou Spotify), crie um atalho na pasta 'Inicializar', abra as propriedades desse atalho e em 'Executar' selecione 'Minimizado'.",Comunidade Super User e Fóruns de TI
Impressora Puxando Várias Folhas,Borrachas de tração (roletes) (pickup rollers) gastas nas impressoras laser perdem a aderência e puxam múltiplas folhas causando atolamento. Limpar as borrachas com pano levemente umedecido em água e sabão resolve provisoriamente; a troca é recomendada.,"Portal de Suporte HP, Epson e Brother"
Erro PCL XL na Impressora,Erros 'PCL XL' acontecem quando há falha de tradução entre o driver de impressora e o documento complexo. A solução é acessar as Propriedades de Impressão e mudar as fontes 'TrueType' para serem baixadas como 'Bitmap'.,"Portal de Suporte HP, Epson e Brother"
Bloqueio de Teclado Numérico,O teclado da direita não digitar números ocorre porque o 'Num Lock' foi desativado. Pressione a tecla 'Num Lk' acima do número 7 para reativar. O LED acenderá mostrando que os números estão disponíveis.,Comunidade Super User e Fóruns de TI
Windows Não Conecta Rede 5GHz,"Notebooks antigos só enxergam redes 2.4GHz pois a placa Wi-Fi é do padrão 802.11b/g/n. Para se conectar a roteadores 5GHz, é necessário utilizar adaptadores USB Wi-Fi compatíveis com o padrão 'Dual Band' ou 802.11ac/ax.",Microsoft Learn (Docs)
Restaurar Padrões de Fábrica do Windows,"Se o sistema está irrecuperável, a formatação limpa resolve sem pen drive: vá em Configurações > Sistema > Recuperação, clique em 'Restaurar o PC' e escolha 'Remover tudo' para retornar ao estado zero de fábrica.",Microsoft Learn (Docs)
Barra de Rolagem do Mouse Pulando (Scroll Wheel),Um scroll de mouse que desce a página erraticamente tem sujeira presa no sensor rotatório encoder. Aplicar limpa-contatos elétrico diretamente na engrenagem dentro do mouse ou assoprar com ar comprimido remove a obstrução.,Comunidade Super User e Fóruns de TI
Não é Possível Apagar Pasta (Nome Muito Longo),"Ao tentar excluir ou mover pastas que ultrapassam os limites de 256 caracteres, o Windows emite um erro. A solução é utilizar um utilitário compressivo (7-Zip) para renomear e excluir, ou renomear as subpastas manualmente para encurtar.",Microsoft Learn (Docs)
Cabo USB-C Não Envia Imagem para Monitor,O envio de vídeo via USB-C (DisplayPort Alternate Mode) só funciona em portas USB-C com símbolo de 'raio' (Thunderbolt) ou 'D' (DisplayPort). USB-C básico em notebooks de entrada transfere apenas dados ou energia.,Comunidade Super User e Fóruns de TI
Pasta de Rede Muito Lenta para Carregar,"Pastas com milhares de fotos tentam renderizar miniaturas (thumbnails) via rede, consumindo banda intensamente. Mudar o modo de visualização para 'Detalhes' ou 'Lista' paralisa as requisições, tornando a navegação instantânea.",Documentação Cisco e Clube do Hardware
Bloquear Sites no Arquivo Hosts,"Para bloquear acesso no PC local, abra o bloco de notas como admin, edite 'C:\Windows\System32\drivers\etc\hosts' e adicione a linha '127.0.0.1 www.sitebloqueado.com' no final. O site será direcionado ao vazio local.",Microsoft Learn (Docs)
Desfragmentação em Disco Mecânico HD,"Discos HD muito lentos possuem fragmentação alta (arquivos espalhados pelo prato físico). O otimizador de unidades do Windows resolve isso em poucas horas, juntando os arquivos e otimizando o braço mecânico de leitura.",Microsoft Learn (Docs)
Erro de Arquivo .DLL Faltando ao Jogar,Jogos pirateados e emuladores frequentemente têm DLLs bloqueadas ou apagadas silenciosamente pelo Antivírus Defender local. Crie uma exclusão para a pasta do jogo na área 'Segurança do Windows' antes da instalação e reinstale.,Microsoft Learn (Docs)
Desabilitar Inicialização Rápida para Erros Base,O recurso 'Inicialização Rápida' do Windows causa travamentos lógicos pois o PC não desliga de verdade (hibridiza com hibernação). Desative isso pelo 'Opções de Energia > Escolher a função dos botões' para desligamentos e reboots limpos.,Microsoft Learn (Docs)
